model,tp,fp,tn,fn,precision,recall,f1,specificity,roc_auc
Isolation Forest,2830,1122,73668,30478,0.7160931174089069,0.08496457307553741,0.15190552871712293,0.9849979943842759,0.5950239311840898
Autoencoder,6830,3740,71050,26478,0.6461684011352885,0.2050558424402546,0.3113177446556361,0.9499933146142533,0.5931148402830275
OR Ensemble,7006,3979,70811,26302,0.6377787892580792,0.21033985829230215,0.31634795565890766,0.9467977002273031,
AND Ensemble,2654,883,73907,30654,0.7503534068419565,0.07968055722348985,0.14406296648120503,0.9881936087712261,
